title	filename	url	size_bytes
Homework 0: Linear Algebra Review	hw0_linalg.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw0_linalg.pdf	247270
Homework 1: Rotations and Reference Frames	hw1_rotations.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw1_rotations.pdf	646720
Homework 1 Starter Code	hw1_starter.zip	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw1_starter.zip	8895
Homework 2: Exponential Coordinates	hw2_exp.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw2_exp.pdf	3363114
Homework 2 Starter Code	hw2_starter.zip	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw2_starter.zip	8377
Homework 3: Forward Kinematics	hw3_fk.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw3_fk.pdf	714636
Homework 4: Inverse Kinematics	hw4_ik.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw4_ik.pdf	437996
Homework 5: Vision	hw5_vision.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw5_vision.pdf	576119
Homework 5 Starter Code	hw5_starter.zip	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw5_starter.zip	2823115
Homework 5: Vision Theory	hw5_vision_theory.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw5_vision_theory.pdf	239559
Homework 6: Velocities	hw6_velocities.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw6_velocities.pdf	146006
Homework 7: Jacobians & Singularities	hw7_jacobians.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw7_jacobians.pdf	369996
Homework 8: Dynamics	hw8_dynamics.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw8_dynamics.pdf	956997
Homework 8 Starter Code	hw8_starter.zip	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw8_starter.zip	2658
Homework 9: Control	hw9_control.pdf	https://ucb-ee106.github.io/eecs106a-fa23site/assets/homework/hw9_control.pdf	253996
